Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZNF521		18q11.2	AMP	255	20261	1.3%	Yes
CFAP54		12q23.1	AMP	225	20261	1.1%	No
ATF1		12q13.12	HOMDEL	169	20261	0.8%	Yes
NKX2-1		14q13.3	HOMDEL	425	20261	2.1%	Yes
HOPX		4q12	AMP	228	20261	1.1%	No
RAB2A		8q12.1-q12.2	AMP	1197	20261	5.9%	No
TP63		3q28	HOMDEL	101	20261	0.5%	Yes
FBXL20		17q12	AMP	251	20261	1.2%	No
CCDC148		2q24.1	AMP	130	20261	0.6%	No
NFE2L2		2q31.2	HOMDEL	94	20261	0.5%	Yes
SHH		7q36.3	HOMDEL	271	20261	1.3%	No
CHMP1B2P		Xq21.1	HOMDEL	389	20261	1.9%	No
DNAJB1		19p13.12	HOMDEL	302	20261	1.5%	Yes
CHCHD3		7q32.3-q33	HOMDEL	52	20261	0.3%	No
MAP3K2		2q14.3	HOMDEL	141	20261	0.7%	No
TMC5		16p12.3	HOMDEL	57	20261	0.3%	No
SHANK2		11q13.3-q13.4	AMP	602	20261	3.0%	No
RORA		15q22.2	AMP	197	20261	1.0%	No
MIR3681HG		2p24.3	HOMDEL	70	20261	0.3%	No
THTPA		14q11.2	AMP	169	20261	0.8%	No
USP6		17p13.2	HOMDEL	662	20261	3.3%	Yes
CDK6		7q21.2	HOMDEL	70	20261	0.3%	Yes
OVOL2		20p11.23	AMP	310	20261	1.5%	No
GALNT12		9q22.33	HOMDEL	188	20261	0.9%	No
SNRNP70		19q13.33	AMP	223	20261	1.1%	No
FGFR1		8p11.23	AMP	1001	20261	4.9%	Yes
MPL		1p34.2	AMP	339	20261	1.7%	Yes
NR1D2		3p24.2	HOMDEL	180	20261	0.9%	No
LRRC4C		11p12	HOMDEL	157	20261	0.8%	No
ARAF		Xp11.3	AMP	330	20261	1.6%	Yes
ADAMTS6		5q12.3	HOMDEL	342	20261	1.7%	No
ADAR		1q21.3	AMP	1006	20261	5.0%	No
HOXD-AS2		2q31.1	AMP	140	20261	0.7%	No
PPP1R12B		1q32.1	HOMDEL	33	20261	0.2%	No
CTNNA2		2p12	HOMDEL	41	20261	0.2%	No
H3F3B		17q25.1	AMP	429	20261	2.1%	Yes
MAP4K3		2p22.1	AMP	393	20261	1.9%	No
RORB		9q21.13	AMP	171	20261	0.8%	No
ARHGAP35		19q13.32	HOMDEL	454	20261	2.2%	Yes
ATP10B		5q34	HOMDEL	148	20261	0.7%	No
CA10		17q21.33-q22	AMP	419	20261	2.1%	No
TRPM3		9q21.12-q21.13	AMP	178	20261	0.9%	No
CPE		4q32.3	HOMDEL	234	20261	1.2%	No
KCTD5		16p13.3	HOMDEL	142	20261	0.7%	No
LINC00616		4q28.3	HOMDEL	205	20261	1.0%	No
LINC01322		3q26.1	HOMDEL	77	20261	0.4%	No
SAMD9L		7q21.2	HOMDEL	297	20261	1.5%	Yes
H3F3A		1q42.12	AMP	473	20261	2.3%	Yes
NBAS		2p24.3	HOMDEL	69	20261	0.3%	No
BRCA1		17q21.31	AMP	782	20261	3.9%	Yes
RRAGC		1p34.3	AMP	368	20261	1.8%	Yes
TNPO3		7q32.1	HOMDEL	51	20261	0.3%	No
PHF8		Xp11.22	HOMDEL	348	20261	1.7%	No
SMAP1		6q13	AMP	121	20261	0.6%	No
KIT		4q12	AMP	560	20261	2.8%	Yes
TFE3		Xp11.23	AMP	466	20261	2.3%	Yes
PRKAG2		7q36.1	AMP	1479	20261	7.3%	No
NOL4		18q12.1	HOMDEL	468	20261	2.3%	No
TRAPPC9		8q24.3	HOMDEL	80	20261	0.4%	No
ADARB2		10p15.3	AMP	389	20261	1.9%	Yes
ALK		2p23.2-p23.1	AMP	437	20261	2.2%	Yes
CHD5		1p36.31	HOMDEL	855	20261	4.2%	No
PAH		12q23.2	HOMDEL	90	20261	0.4%	No
SETD2		3p21.31	HOMDEL	479	20261	2.4%	Yes
PPM1D		17q23.2	AMP	991	20261	4.9%	Yes
LINC00639		14q21.1	HOMDEL	203	20261	1.0%	No
CSRNP3		2q24.3	AMP	134	20261	0.7%	No
ROS1		6q22.1	AMP	187	20261	0.9%	Yes
TSC2		16p13.3	HOMDEL	512	20261	2.5%	Yes
C12ORF56		12q14.2	AMP	409	20261	2.0%	No
BRAF		7q34	AMP	1501	20261	7.4%	Yes
REPS1		6q24.1	HOMDEL	356	20261	1.8%	No
MALAT1		11q13.1	AMP	180	20261	0.9%	No
CROT		7q21.12	HOMDEL	69	20261	0.3%	No
ATXN1		6p22.3	AMP	238	20261	1.2%	No
BRCA2		13q13.1	AMP	364	20261	1.8%	Yes
DNAJB1		19p13.12	AMP	773	20261	3.8%	Yes
MEF2C-AS2		5q14.3	AMP	181	20261	0.9%	No
KDR		4q12	HOMDEL	247	20261	1.2%	Yes
ABCB4		7q21.12	HOMDEL	41	20261	0.2%	No
ANK3		10q21.2	HOMDEL	384	20261	1.9%	No
VWF		12p13.31	HOMDEL	110	20261	0.5%	No
PMS1		2q32.2	AMP	354	20261	1.7%	Yes
KDSR		18q21.33	HOMDEL	330	20261	1.6%	Yes
TNIK		3q26.2-q26.31	AMP	982	20261	4.8%	No
DLGAP2		8p23.3	HOMDEL	863	20261	4.3%	No
TMC1		9q21.13	AMP	171	20261	0.8%	No
CCDC91		12p11.22	HOMDEL	62	20261	0.3%	No
ATXN2		12q24.12	AMP	288	20261	1.4%	Yes
SGCD		5q33.2-q33.3	AMP	146	20261	0.7%	No
ITCH		20q11.22	HOMDEL	51	20261	0.3%	No
BRCA2		13q13.1	HOMDEL	573	20261	2.8%	Yes
ADCY1		7p12.3	AMP	863	20261	4.3%	No
HDAC9		7p21.1	AMP	1624	20261	8.0%	No
LINC01250		2p25.3	HOMDEL	120	20261	0.6%	No
PDXDC1		16p13.11	AMP	170	20261	0.8%	No
TTC3		21q22.13	HOMDEL	96	20261	0.5%	No
LOXHD1		18q21.1	AMP	215	20261	1.1%	No
FAM178B		2q11.2	HOMDEL	31	20261	0.2%	No
TTLL11		9q33.2	HOMDEL	183	20261	0.9%	No
EYA2		20q13.12	AMP	791	20261	3.9%	No
CHEK1		11q24.2	AMP	285	20261	1.4%	Yes
ASH2L		8p11.23	AMP	911	20261	4.5%	No
PRDM5		4q27	AMP	72	20261	0.4%	No
TNFSF11		13q14.11	HOMDEL	389	20261	1.9%	No
RHEB		7q36.1	AMP	1488	20261	7.3%	Yes
SGCG		13q12.12	AMP	222	20261	1.1%	No
SLCO2A1		3q22.1-q22.2	AMP	302	20261	1.5%	No
QSER1		11p13	AMP	103	20261	0.5%	No
DPYSL5		2p23.3	HOMDEL	55	20261	0.3%	No
STEAP3		2q14.2	HOMDEL	66	20261	0.3%	No
GLB1L3		11q25	HOMDEL	291	20261	1.4%	No
RSRC1		3q25.32	HOMDEL	101	20261	0.5%	No
GGA2		16p12.2	HOMDEL	107	20261	0.5%	No
GAD2		10p12.1	AMP	204	20261	1.0%	No
LEF1		4q25	HOMDEL	349	20261	1.7%	Yes
ADCY2		5p15.31	AMP	348	20261	1.7%	No
EFEMP1		2p16.1	HOMDEL	49	20261	0.2%	No
SMARCAL1		2q35	HOMDEL	89	20261	0.4%	No
PRKAR1A		17q24.2	HOMDEL	93	20261	0.5%	Yes
MICALCL		11p15.3	HOMDEL	202	20261	1.0%	No
EYA2		20q13.12	HOMDEL	33	20261	0.2%	No
ARID2		12q12	HOMDEL	171	20261	0.8%	Yes
BNC2		9p22.3-p22.2	AMP	131	20261	0.6%	No
SLX4IP		20p12.2	HOMDEL	98	20261	0.5%	No
ARSG		17q24.2	HOMDEL	46	20261	0.2%	No
CDH23		10q22.1	AMP	210	20261	1.0%	No
TTC39C		18q11.2	HOMDEL	202	20261	1.0%	No
SRPX		Xp11.4	AMP	250	20261	1.2%	No
NCKAP5		2q21.2	AMP	226	20261	1.1%	No
HSD3B1		1p12	HOMDEL	237	20261	1.2%	Yes
ATR		3q23	AMP	640	20261	3.2%	Yes
DDC		7p12.2-p12.1	HOMDEL	88	20261	0.4%	No
HSPA2		14q23.3	HOMDEL	206	20261	1.0%	No
EPSTI1		13q14.11	AMP	107	20261	0.5%	No
PACSIN1		6p21.31	HOMDEL	82	20261	0.4%	No
INO80E		16p11.2	AMP	261	20261	1.3%	No
ZFPM2		8q23.1	HOMDEL	37	20261	0.2%	No
USP34		2p15	AMP	308	20261	1.5%	No
POC5		5q13.3	HOMDEL	145	20261	0.7%	No
ERICH1		8p23.3	HOMDEL	522	20261	2.6%	No
CPT1B		22q13.33	AMP	91	20261	0.4%	No
EXTL3		8p21.1	AMP	178	20261	0.9%	No
LARGE1		22q12.3	HOMDEL	423	20261	2.1%	No
CEP68		2p14	AMP	195	20261	1.0%	No
SPOP		17q21.33	AMP	731	20261	3.6%	Yes
BCL2L2		14q11.2	HOMDEL	353	20261	1.7%	Yes
ZNF45		19q13.31	HOMDEL	216	20261	1.1%	No
ABCA10		17q24.3	AMP	614	20261	3.0%	No
BEND2		Xp22.13	AMP	263	20261	1.3%	No
ATRX		Xq21.1	AMP	189	20261	0.9%	Yes
ELF5		11p13	AMP	111	20261	0.5%	No
CDK12		17q12	HOMDEL	228	20261	1.1%	Yes
PIK3C2G		12p12.3	HOMDEL	113	20261	0.6%	Yes
TMC1		9q21.13	HOMDEL	206	20261	1.0%	No
FMN2		1q43	HOMDEL	63	20261	0.3%	No
CDKL2		4q21.1	HOMDEL	131	20261	0.6%	No
GABRR2		6q15	AMP	54	20261	0.3%	No
FANCL		2p16.1	HOMDEL	104	20261	0.5%	Yes
HMCES		3q21.3	HOMDEL	105	20261	0.5%	No
CGN		1q21.3	HOMDEL	24	20261	0.1%	No
GFI1B		9q34.13	HOMDEL	302	20261	1.5%	No
CNTN5		11q22.1	HOMDEL	220	20261	1.1%	No
PDS5B		13q13.1	AMP	232	20261	1.1%	Yes
PRDM16		1p36.32	AMP	316	20261	1.6%	Yes
SAMD3		6q23.1	HOMDEL	594	20261	2.9%	No
FLT3		13q12.2	HOMDEL	595	20261	2.9%	Yes
AJUBA		14q11.2	AMP	391	20261	1.9%	Yes
LINC01104		2q11.2	HOMDEL	32	20261	0.2%	No
KIF1A		2q37.3	AMP	181	20261	0.9%	No
FGF14		13q33.1	HOMDEL	531	20261	2.6%	Yes
KLHL15		Xp22.11	HOMDEL	356	20261	1.8%	No
HHAT		1q32.2	AMP	797	20261	3.9%	No
KNSTRN		15q15.1	AMP	241	20261	1.2%	Yes
LRRC75A		17p11.2	AMP	210	20261	1.0%	No
MCL1		1q21.2	HOMDEL	51	20261	0.3%	Yes
STRBP		9q33.3	HOMDEL	134	20261	0.7%	No
MFN2		1p36.22	HOMDEL	599	20261	3.0%	No
KCNAB1		3q25.31	HOMDEL	184	20261	0.9%	No
CD274		9p24.1	HOMDEL	895	20261	4.4%	Yes
RGL1		1q25.3	AMP	809	20261	4.0%	No
TRABD2B		1p33	HOMDEL	306	20261	1.5%	No
CPS1		2q34	AMP	131	20261	0.6%	Yes
ADCY5		3q21.1	HOMDEL	111	20261	0.5%	No
SORBS2		4q35.1	HOMDEL	275	20261	1.4%	No
MAP3K7		6q15	AMP	163	20261	0.8%	Yes
DMXL1		5q23.1	HOMDEL	126	20261	0.6%	No
MIR6130		21q21.2	HOMDEL	144	20261	0.7%	No
XPO1		2p15	AMP	611	20261	3.0%	Yes
SNAPC4		9q34.3	HOMDEL	200	20261	1.0%	No
PLPP3		1p32.2	HOMDEL	222	20261	1.1%	No
UBR4		1p36.13	AMP	98	20261	0.5%	No
PDGFB		22q13.1	HOMDEL	861	20261	4.2%	Yes
LINC00373		13q31.2	HOMDEL	314	20261	1.5%	No
ARSF		Xp22.33	AMP	131	20261	0.6%	No
NFKBIE		6p21.1	AMP	768	20261	3.8%	Yes
DAB1		1p32.2	HOMDEL	529	20261	2.6%	No
MYO1D		17q11.2	HOMDEL	120	20261	0.6%	No
MIR548AI		6q16.2	HOMDEL	166	20261	0.8%	No
SLC12A2		5q23.3	HOMDEL	116	20261	0.6%	No
CRCT1		1q21.3	HOMDEL	61	20261	0.3%	No
SRBD1		2p21	HOMDEL	50	20261	0.2%	No
KRAS		12p12.1	HOMDEL	153	20261	0.8%	Yes
ARPP21		3p22.3	AMP	99	20261	0.5%	No
HDX		Xq21.1	HOMDEL	228	20261	1.1%	No
CHD2		15q26.1	AMP	419	20261	2.1%	Yes
VHL		3p25.3	HOMDEL	392	20261	1.9%	Yes
CD79A		19q13.2	HOMDEL	381	20261	1.9%	Yes
AKT2		19q13.2	HOMDEL	346	20261	1.7%	Yes
LINC00607		2q35	AMP	134	20261	0.7%	No
COL11A1		1p21.1	HOMDEL	203	20261	1.0%	No
GLB1L3		11q25	AMP	173	20261	0.9%	No
CD164		6q21	HOMDEL	380	20261	1.9%	No
SMC3		10q25.2	HOMDEL	799	20261	3.9%	Yes
GNG12		1p31.3	HOMDEL	312	20261	1.5%	No
LINC01091		4q28.1	AMP	80	20261	0.4%	No
PPP3CA		4q24	HOMDEL	149	20261	0.7%	No
ADAMTSL1		9p22.2-p22.1	AMP	208	20261	1.0%	No
FRMD3		9q21.32	HOMDEL	190	20261	0.9%	No
DISC1FP1		11q14.3	HOMDEL	164	20261	0.8%	No
TGS1		8q12.1	HOMDEL	98	20261	0.5%	No
CNTN3		3p12.3	AMP	117	20261	0.6%	No
PUDP		Xp22.31	AMP	260	20261	1.3%	No
WWOX		16q23.1-q23.2	HOMDEL	277	20261	1.4%	No
DPYSL5		2p23.3	AMP	234	20261	1.2%	No
CACNA1E		1q25.3	HOMDEL	29	20261	0.1%	No
OBSCN		1q42.13	AMP	805	20261	4.0%	No
ETS1		11q24.3	HOMDEL	500	20261	2.5%	Yes
NLRC5		16q13	AMP	98	20261	0.5%	No
LINC01505		9q31.2	AMP	199	20261	1.0%	No
PPP1R13B		14q32.33	HOMDEL	243	20261	1.2%	No
LRBA		4q31.3	AMP	70	20261	0.3%	No
ABTB2		11p13	HOMDEL	181	20261	0.9%	No
INPP5D		2q37.1	AMP	113	20261	0.6%	Yes
NUAK1		12q23.3	HOMDEL	169	20261	0.8%	No
MEF2B		19p13.11	AMP	625	20261	3.1%	Yes
NOTCH1		9q34.3	HOMDEL	420	20261	2.1%	Yes
KCNK9		8q24.3	HOMDEL	81	20261	0.4%	No
NTN1		17p13.1	AMP	225	20261	1.1%	No
STK32A		5q32	AMP	213	20261	1.1%	No
MCL1		1q21.2	AMP	1692	20261	8.4%	Yes
ABCA4		1p22.1	AMP	88	20261	0.4%	No
PLCL1		2q33.1	HOMDEL	53	20261	0.3%	No
PRKN		6q26	HOMDEL	314	20261	1.5%	Yes
ZNF804B		7q21.13	HOMDEL	73	20261	0.4%	No
TMEM127		2q11.2	HOMDEL	26	20261	0.1%	Yes
RGS7		1q43|1q23.1	AMP	1266	20261	6.2%	No
ZNF45		19q13.31	AMP	257	20261	1.3%	No
HIST1H3B		6p22.2	AMP	299	20261	1.5%	Yes
FHOD3		18q12.2	AMP	226	20261	1.1%	No
TARID		6q23.2	HOMDEL	344	20261	1.7%	No
BUD31		7q22.1	HOMDEL	42	20261	0.2%	No
TACR1		2p12	HOMDEL	43	20261	0.2%	No
GUCY2D		17p13.1	HOMDEL	425	20261	2.1%	No
PLEKHA6		1q32.1	HOMDEL	31	20261	0.2%	No
POLR1E		9p13.2	AMP	148	20261	0.7%	No
PLD5		1q43	AMP	808	20261	4.0%	No
RPL10		Xq28	AMP	86	20261	0.4%	Yes
RECK		9p13.3	HOMDEL	262	20261	1.3%	No
SYNE2		14q23.2	AMP	274	20261	1.4%	No
EPB41L2		6q23.1-q23.2	HOMDEL	351	20261	1.7%	No
ABL1		9q34.12	AMP	372	20261	1.8%	Yes
NINL		20p11.21	HOMDEL	100	20261	0.5%	No
LATS1		6q25.1	HOMDEL	242	20261	1.2%	Yes
RPSAP58		19p12	AMP	236	20261	1.2%	No
CYLD		16q12.1	AMP	239	20261	1.2%	Yes
HEATR5B		2p22.2	AMP	194	20261	1.0%	No
SLC39A11		17q24.3-q25.1	HOMDEL	43	20261	0.2%	No
PATJ		1p31.3	AMP	152	20261	0.8%	No
AARSD1		17q21.31	HOMDEL	123	20261	0.6%	No
CADPS2		7q31.32	HOMDEL	52	20261	0.3%	No
CHD1		5q15-q21.1	AMP	314	20261	1.5%	No
AFF3		2q11.2	AMP	116	20261	0.6%	Yes
KSR2		12q24.22-q24.23	AMP	244	20261	1.2%	Yes
IGF2BP3		7p15.3	AMP	1004	20261	5.0%	No
PTPN1		20q13.13	HOMDEL	52	20261	0.3%	Yes
INPP5D		2q37.1	HOMDEL	127	20261	0.6%	Yes
TSPAN18		11p11.2	HOMDEL	176	20261	0.9%	No
LAMA1		18p11.31	AMP	260	20261	1.3%	No
DAB2IP		9q33.2	HOMDEL	147	20261	0.7%	No
SLC9A9		3q24	AMP	374	20261	1.8%	No
ESR2		14q23.2-q23.3	HOMDEL	256	20261	1.3%	No
ANKS1B		12q23.1	AMP	214	20261	1.1%	No
FIP1L1		4q12	HOMDEL	132	20261	0.7%	Yes
LINC00378		13q21.2	AMP	217	20261	1.1%	No
LINC00840		10q11.21	AMP	165	20261	0.8%	No
CPM		12q15	AMP	692	20261	3.4%	No
RPL12		9q33.3	AMP	219	20261	1.1%	No
FAM189A1		15q13.1	AMP	86	20261	0.4%	No
LTB		6p21.33	HOMDEL	152	20261	0.8%	Yes
TTC17		11p12-p11.2	HOMDEL	146	20261	0.7%	No
ABL2		1q25.2	AMP	1315	20261	6.5%	Yes
TADA1		1q24.1	HOMDEL	28	20261	0.1%	No
XBP1		22q12.1|22q12	HOMDEL	716	20261	3.5%	Yes
COL27A1		9q32	HOMDEL	157	20261	0.8%	No
PLBD1		12p13.1	HOMDEL	135	20261	0.7%	No
HECW2		2q32.3	AMP	171	20261	0.8%	No
CDKN2A		9p21.3	HOMDEL	2616	20261	12.9%	Yes
MTR		1q43	HOMDEL	56	20261	0.3%	No
MALRD1		10p12.31	AMP	378	20261	1.9%	No
MAN2B2		4p16.1	HOMDEL	193	20261	1.0%	No
TSKU		11q13.5	HOMDEL	94	20261	0.5%	No
SGMS1		10q11.23	HOMDEL	373	20261	1.8%	No
SEMA5A		5p15.31	HOMDEL	94	20261	0.5%	No
FRS2		12q15	HOMDEL	89	20261	0.4%	Yes
PHF6		Xq26.2	AMP	290	20261	1.4%	Yes
NUP210		3p25.1	AMP	154	20261	0.8%	No
DNAH3		16p12.3	AMP	151	20261	0.7%	No
TENT5C		1p12	HOMDEL	275	20261	1.4%	Yes
DPP10		2q14.1	HOMDEL	47	20261	0.2%	No
MAGI2		7q21.11	AMP	707	20261	3.5%	Yes
BAZ2B		2q24.2	HOMDEL	63	20261	0.3%	No
NSD2		4p16.3	AMP	86	20261	0.4%	Yes
FBLN5		14q32.12	AMP	177	20261	0.9%	No
SRGAP1		12q14.2	AMP	640	20261	3.2%	No
RPTOR		17q25.3	AMP	937	20261	4.6%	Yes
MALAT1		11q13.1	HOMDEL	115	20261	0.6%	No
PTPRK		6q22.33	HOMDEL	603	20261	3.0%	Yes
GABRG3		15q12	AMP	93	20261	0.5%	No
NAALADL2		3q26.31	HOMDEL	78	20261	0.4%	No
FOS		14q24.3	HOMDEL	262	20261	1.3%	No
PMS1		2q32.2	HOMDEL	86	20261	0.4%	Yes
ZNF639		3q26.33	HOMDEL	71	20261	0.4%	No
PTCH2		1p34.1	HOMDEL	465	20261	2.3%	No
PLCL2		3p24.3	AMP	233	20261	1.1%	No
CTNNB1		3p22.1	AMP	204	20261	1.0%	Yes
POU3F2		6q16.1	HOMDEL	278	20261	1.4%	Yes
DCC		18q21.2	HOMDEL	728	20261	3.6%	No
ANK2		4q25-q26	HOMDEL	136	20261	0.7%	No
RMDN2		2p22.2	HOMDEL	54	20261	0.3%	No
EHD4		15q15.1	HOMDEL	250	20261	1.2%	No
ID3		1p36.12	HOMDEL	570	20261	2.8%	Yes
NAV3		12q21.2	HOMDEL	228	20261	1.1%	No
KCNJ6		21q22.13	AMP	506	20261	2.5%	No
FBXL7		5p15.1	HOMDEL	74	20261	0.4%	No
WDR64		1q43	HOMDEL	62	20261	0.3%	No
EDA		Xq13.1	HOMDEL	389	20261	1.9%	No
TMEM156		4p14	HOMDEL	116	20261	0.6%	No
ACVR1		2q24.1	HOMDEL	109	20261	0.5%	Yes
CPED1		7q31.31	AMP	818	20261	4.0%	No
SLC24A3		20p11.23	HOMDEL	212	20261	1.0%	No
HSP90AB1		6p21.1	AMP	853	20261	4.2%	Yes
DOCK4		7q31.1	AMP	802	20261	4.0%	No
CHD1		5q15-q21.1	HOMDEL	348	20261	1.7%	No
CASKIN1		16p13.3	AMP	374	20261	1.8%	No
GPSM3		6p21.32	HOMDEL	151	20261	0.7%	No
LINC01568		16q22.3	AMP	143	20261	0.7%	No
KIF13A		6p22.3	AMP	423	20261	2.1%	No
LINGO1		15q24.3	HOMDEL	112	20261	0.6%	No
SLC22A1		6q25.3	HOMDEL	385	20261	1.9%	No
BAP1		3p21.1	HOMDEL	481	20261	2.4%	Yes
SLIT2		4p15.31	HOMDEL	366	20261	1.8%	Yes
ABCB4		7q21.12	AMP	820	20261	4.0%	No
C5ORF17		5p14.2	AMP	341	20261	1.7%	No
HEY1		8q21.13	HOMDEL	114	20261	0.6%	Yes
LATS1		6q25.1	AMP	83	20261	0.4%	Yes
USP34		2p15	HOMDEL	44	20261	0.2%	No
GGACT		13q32.3	AMP	297	20261	1.5%	No
TRPM1		15q13.3	HOMDEL	232	20261	1.1%	No
MSRA		8p23.1	AMP	253	20261	1.2%	No
FTO		16q12.2	HOMDEL	443	20261	2.2%	No
CREBL2		12p13.1	HOMDEL	98	20261	0.5%	No
LINC01091		4q28.1	HOMDEL	208	20261	1.0%	No
LINC01162		7p21.1-p15.3	HOMDEL	55	20261	0.3%	No
FGFR4		5q35.2	HOMDEL	504	20261	2.5%	Yes
SDHB		1p36.13	AMP	233	20261	1.1%	Yes
ASXL2		2p23.3	AMP	440	20261	2.2%	Yes
L3MBTL4		18p11.31	AMP	145	20261	0.7%	No
ARHGAP18		6q22.33	AMP	150	20261	0.7%	No
LINC01507		9q21.31	AMP	276	20261	1.4%	No
LSAMP		3q13.31	HOMDEL	134	20261	0.7%	No
DUSP6		12q21.33	HOMDEL	78	20261	0.4%	No
LINC01684		21q21.2	HOMDEL	114	20261	0.6%	No
CASKIN2		17q25.1	HOMDEL	41	20261	0.2%	No
SF3A1		22q12.2	AMP	187	20261	0.9%	No
HERC2		15q13.1	HOMDEL	216	20261	1.1%	No
ARHGEF9		Xq11.1	AMP	33	20261	0.2%	No
SERINC5		5q14.1	HOMDEL	135	20261	0.7%	No
ELOC		8q21.11	AMP	298	20261	1.5%	Yes
TOP2A		17q21.2	AMP	667	20261	3.3%	Yes
RAD21		8q24.11	HOMDEL	160	20261	0.8%	Yes
LSAMP		3q13.31	AMP	233	20261	1.1%	No
PARD6G		18q23	HOMDEL	336	20261	1.7%	No
PPM1E		17q22	HOMDEL	54	20261	0.3%	No
SDHC		1q23.3	AMP	959	20261	4.7%	Yes
NRXN1		2p16.3	AMP	377	20261	1.9%	No
ADGRL2		1p31.1	HOMDEL	334	20261	1.6%	No
TTYH1		19q13.42	AMP	570	20261	2.8%	No
SPRY4		5q31.3	AMP	144	20261	0.7%	No
ERCC2		19q13.32	HOMDEL	568	20261	2.8%	Yes
EEPD1		7p14.2	AMP	903	20261	4.5%	No
MRE11		11q21	HOMDEL	90	20261	0.4%	Yes
PKIA		8q21.13	HOMDEL	38	20261	0.2%	No
HSD3B1		1p12	AMP	326	20261	1.6%	Yes
CDH1		16q22.1	HOMDEL	530	20261	2.6%	Yes
SDHD		11q23.1	AMP	269	20261	1.3%	Yes
DEF8		16q24.3	AMP	237	20261	1.2%	No
