Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
NSD2		579	512	20308	2.5%	Yes
STAT4		359	318	20308	1.6%	Yes
SPOP		373	355	20308	1.7%	Yes
PMS2		436	357	16118	2.2%	Yes
STAT6		469	402	20308	2.0%	Yes
RICTOR		643	551	20308	2.7%	Yes
SF3B1		607	558	20308	2.7%	Yes
PMS1		396	382	20308	1.9%	Yes
MYB-AS1		3	3	20308	<0.1%	No
RUNX1T1		554	490	20308	2.4%	Yes
BRD4		705	619	20308	3.0%	Yes
CDKN2B		85	84	20308	0.4%	Yes
SF3A1		223	217	16118	1.3%	No
CDKN2C		133	123	20308	0.6%	Yes
CDKN2A		1051	924	20308	4.5%	Yes
MGMT		149	148	20308	0.7%	No
STAT3		482	446	20308	2.2%	Yes
SNCAIP		703	567	20308	2.8%	Yes
FOXR2		132	123	16118	0.8%	No
WT1		1015	966	20308	4.8%	Yes
ETNK1		147	143	16118	0.9%	Yes
FOSB		128	124	16118	0.8%	No
ZNF217		667	621	20308	3.1%	Yes
FRK		234	212	16118	1.3%	No
CRLF2		79	77	16118	0.5%	Yes
CSF3R		384	360	20308	1.8%	Yes
MRE11		413	390	20308	1.9%	Yes
ZBTB20		434	384	20308	1.9%	Yes
IRS2		722	611	20308	3.0%	Yes
FGF3		169	164	20308	0.8%	Yes
FGF4		101	98	20308	0.5%	Yes
FGF6		201	194	20308	1.0%	Yes
STK11		507	469	20308	2.3%	Yes
CYSLTR2		179	174	16118	1.1%	Yes
CDH1		581	525	20308	2.6%	Yes
MAP3K8		166	158	16118	1.0%	No
MAP3K9		606	552	20308	2.7%	No
NBN		389	356	20308	1.8%	Yes
ROS1		1601	1224	20308	6.0%	Yes
MAP3K7		249	227	20308	1.1%	Yes
MAP3K5		555	497	20308	2.4%	No
MEN1		362	331	20308	1.6%	Yes
MAP2K4		300	278	20308	1.4%	Yes
RNF43		506	449	20308	2.2%	Yes
MAP2K1		348	319	20308	1.6%	Yes
USP7		81	75	4190	1.8%	No
MAP2K2		232	220	20308	1.1%	Yes
USP6		733	669	16118	4.2%	Yes
EIF1AX		170	167	20308	0.8%	Yes
FBXW7		1031	908	20308	4.5%	Yes
IPMK		195	179	20308	0.9%	No
AIP		120	118	16118	0.7%	No
MITF		278	268	20308	1.3%	Yes
VRK2		7	7	20308	<0.1%	No
LARP4B		329	306	16118	1.9%	Yes
PAX8-AS1		2	2	20308	<0.1%	No
EMSY		534	483	20308	2.4%	Yes
FOXP1		381	356	20308	1.8%	Yes
MSH6		841	694	20308	3.4%	Yes
MSH2		607	532	4190	12.7%	Yes
SMO		446	405	20308	2.0%	Yes
MSH3		830	754	20308	3.7%	Yes
KAT6A		801	688	20308	3.4%	Yes
SRSF2		137	133	20308	0.7%	Yes
ERG		352	328	20308	1.6%	Yes
IL6ST		324	306	16118	1.9%	Yes
AJUBA		280	259	20308	1.3%	Yes
DGKH		85	74	4190	1.8%	No
NOTCH2		762	646	16118	4.0%	Yes
CSF1R		503	462	20308	2.3%	Yes
NOTCH3		1447	1210	20308	6.0%	Yes
KMT2D		3809	2793	20308	13.8%	Yes
CD274		106	101	20308	0.5%	Yes
C11ORF95		24	24	16118	0.1%	No
BLM		697	564	20308	2.8%	Yes
DNMT1		509	442	16118	2.7%	Yes
NOTCH1		2049	1577	20308	7.8%	Yes
CBFB		95	94	20308	0.5%	Yes
KMT2A		1338	1064	20308	5.2%	Yes
MAX		109	104	16118	0.6%	Yes
CUL3		279	240	20308	1.2%	Yes
KMT2C		2430	1972	16118	12.2%	Yes
KMT2B		1776	1388	20308	6.8%	Yes
THADA		767	691	16118	4.3%	No
FOXO1		326	301	20308	1.5%	Yes
BCL2L12		60	52	4190	1.2%	No
SOCS1		329	166	20308	0.8%	Yes
ABL1		561	507	20308	2.5%	Yes
ABL2		458	424	20308	2.1%	Yes
TNFRSF14		223	210	20308	1.0%	Yes
MCL1		219	194	20308	1.0%	Yes
BORCS8-MEF2B		231	222	20308	1.1%	No
FUS		278	260	20308	1.3%	Yes
ATP8B1		416	374	16118	2.3%	No
FANCL		224	215	20308	1.1%	Yes
GLMN		187	169	16118	1.0%	No
FANCA		941	854	20308	4.2%	Yes
OGA		260	245	16118	1.5%	No
FANCC		317	297	20308	1.5%	Yes
FANCE		242	236	20308	1.2%	Yes
PALB2		578	521	20308	2.6%	Yes
FANCG		268	245	20308	1.2%	Yes
FANCF		175	171	20308	0.8%	Yes
PTPRD		1546	1194	20308	5.9%	Yes
CDK8		191	177	20308	0.9%	Yes
PTPRB		1343	1023	20308	5.0%	Yes
CDK6		85	84	20308	0.4%	Yes
BCL6		356	321	20308	1.6%	Yes
CDK4		124	119	20308	0.6%	Yes
RHEB		59	59	20308	0.3%	Yes
CNOT3		323	300	20308	1.5%	Yes
BCL2		253	133	20308	0.7%	Yes
MDM2		173	166	20308	0.8%	Yes
NF1		2822	2106	20308	10.4%	Yes
TADA1		25	24	4190	0.6%	No
MDM4		177	163	20308	0.8%	Yes
NF2		956	885	20308	4.4%	Yes
CLPTM1L		82	80	20308	0.4%	No
LZTR1		759	692	20308	3.4%	Yes
BCL2L2		64	61	20308	0.3%	Yes
MYD88		276	271	20308	1.3%	Yes
BCL2L1		76	71	20308	0.3%	Yes
NFE2L2		436	417	20308	2.1%	Yes
ALK		1139	1008	20308	5.0%	Yes
FLT1		783	667	20308	3.3%	Yes
HSP90AB1		262	246	20308	1.2%	Yes
FLT3		620	542	20308	2.7%	Yes
FLT4		901	802	20308	3.9%	Yes
PTEN		2413	1887	20308	9.3%	Yes
PIK3CG		797	698	20308	3.4%	Yes
CDC73		255	229	20308	1.1%	Yes
SYNE1		928	550	4190	13.1%	No
PPP6C		190	179	20308	0.9%	Yes
SIN3A		525	458	20308	2.3%	No
DIS3L2		373	350	16118	2.2%	No
DIS3		466	422	20308	2.1%	Yes
ATRX		1740	1343	20308	6.6%	Yes
DNMT3A		877	782	20308	3.9%	Yes
FOXL2		207	203	20308	1.0%	Yes
NRG1		591	530	16118	3.3%	Yes
SMC1A		374	305	20308	1.5%	Yes
TRAF7		554	517	20308	2.5%	Yes
PIK3CA		2645	2193	20308	10.8%	Yes
ESPL1		194	152	4190	3.6%	No
TRAF3		234	221	20308	1.1%	Yes
BIRC5		48	48	16118	0.3%	No
TOP1		243	233	20308	1.1%	Yes
SOS1		510	468	20308	2.3%	Yes
MET		750	633	20308	3.1%	Yes
SOS2		506	447	20308	2.2%	No
HDAC4		692	626	20308	3.1%	Yes
CEBPA		195	176	20308	0.9%	Yes
NUTM1		625	549	20308	2.7%	Yes
LRP1		3	3	20308	<0.1%	No
PLAG1		231	220	20308	1.1%	Yes
SRC		209	191	20308	0.9%	Yes
U2AF1		221	212	20308	1.0%	Yes
PPM1D		382	361	20308	1.8%	Yes
TBXT		232	222	16118	1.4%	No
HDAC9		179	136	4190	3.2%	No
CDC42		71	63	20308	0.3%	Yes
DNAJB1		165	160	20308	0.8%	Yes
POLR2A		593	499	16118	3.1%	No
FIP1L1		116	112	16118	0.7%	Yes
U2AF2		179	164	16118	1.0%	Yes
KRIT1		234	215	16118	1.3%	No
SLITRK6		104	92	4190	2.2%	No
FYN		221	214	20308	1.1%	Yes
IGF2BP3		230	221	16118	1.4%	No
BEND2		335	299	16118	1.9%	No
SH2B3		405	377	20308	1.9%	Yes
JAZF1		97	91	20308	0.4%	Yes
NTRK1		796	754	20308	3.7%	Yes
SMARCE1		131	126	16118	0.8%	Yes
NTRK2		357	318	20308	1.6%	Yes
PTPN1		211	201	20308	1.0%	Yes
NTRK3		721	615	20308	3.0%	Yes
MGA		1389	1158	20308	5.7%	Yes
PTPN11		404	373	20308	1.8%	Yes
KLF4		313	296	20308	1.5%	Yes
C1ORF147		37	36	20308	0.2%	No
MTOR		1023	872	20308	4.3%	Yes
TBX3		545	490	20308	2.4%	Yes
ASXL1		963	873	20308	4.3%	Yes
RAD50		490	442	20308	2.2%	Yes
RAD51		102	96	20308	0.5%	Yes
APC		2228	1699	20308	8.4%	Yes
IL2RB		66	59	4190	1.4%	No
ASXL2		684	592	20308	2.9%	Yes
BCOR		894	779	20308	3.8%	Yes
SMARCAL1		430	401	16118	2.5%	No
ERRFI1		209	198	20308	1.0%	Yes
SMARCB1		520	504	20308	2.5%	Yes
GFI1		176	170	16118	1.1%	No
KEAP1		490	449	20308	2.2%	Yes
CBLB		112	95	4190	2.3%	Yes
IKZF1		441	394	20308	1.9%	Yes
IKZF2		297	265	20308	1.3%	Yes
IKZF3		285	270	20308	1.3%	Yes
CRKL		104	101	20308	0.5%	Yes
SOX2		143	138	20308	0.7%	Yes
EDNRB		46	40	4190	1.0%	No
TRIM28		74	59	4190	1.4%	No
PPP2R1A		334	302	20308	1.5%	Yes
ADGRA2		825	763	20308	3.8%	Yes
CHEK2		663	637	20308	3.1%	Yes
CHEK1		208	200	20308	1.0%	Yes
CCN6		134	132	20308	0.6%	Yes
KDR		1000	839	20308	4.1%	Yes
SOX9		353	312	20308	1.5%	Yes
EPHB1		681	593	20308	2.9%	Yes
EPHB4		409	382	16118	2.4%	Yes
PDK1		209	205	20308	1.0%	Yes
ACVR1		251	228	20308	1.1%	Yes
EPHA5		801	647	20308	3.2%	Yes
EPHA7		748	597	20308	2.9%	Yes
EBF1		429	382	20308	1.9%	Yes
HNF1A		424	389	20308	1.9%	Yes
RUNX1		969	923	20308	4.5%	Yes
INPP4B		504	436	20308	2.1%	Yes
RRAGC		167	157	20308	0.8%	Yes
BTK		289	256	20308	1.3%	Yes
BCORL1		878	735	20308	3.6%	Yes
TP53		9704	7064	20308	34.8%	Yes
ZFPM1		751	707	16118	4.4%	No
EPHA3		819	681	20308	3.4%	Yes
EPHA2		113	99	4190	2.4%	No
TSHZ3		152	127	4190	3.0%	No
TSHZ2		153	134	4190	3.2%	No
PIK3R2		366	343	20308	1.7%	Yes
PIK3R1		1090	896	20308	4.4%	Yes
CD79B		217	176	20308	0.9%	Yes
CD79A		141	139	20308	0.7%	Yes
BRIP1		534	480	20308	2.4%	Yes
RRAS		136	130	20308	0.6%	Yes
ZNF703		431	328	20308	1.6%	Yes
HIST1H3B		172	165	20308	0.8%	Yes
RBM10		658	602	20308	3.0%	Yes
EGR1		45	41	4190	1.0%	Yes
ZRSR2		170	160	20308	0.8%	Yes
WWTR1		287	280	16118	1.7%	Yes
XBP1		158	147	20308	0.7%	Yes
APOBEC3G		42	40	4190	1.0%	No
IGF2		130	125	20308	0.6%	Yes
SMARCA2		686	603	20308	3.0%	Yes
SMARCA4		1158	964	20308	4.7%	Yes
STAG2		571	474	20308	2.3%	Yes
FUBP1		398	348	20308	1.7%	Yes
ID3		127	111	20308	0.5%	Yes
ATM		1982	1584	20308	7.8%	Yes
CALR		184	179	20308	0.9%	Yes
BAP1		641	569	20308	2.8%	Yes
ATR		1073	899	20308	4.4%	Yes
DDR1		456	424	16118	2.6%	Yes
TOP2A		567	494	20308	2.4%	Yes
PTPRT		1425	1093	20308	5.4%	Yes
BRCA1		823	735	20308	3.6%	Yes
PTPRK		781	647	20308	3.2%	Yes
BRCA2		1587	1263	20308	6.2%	Yes
ROBO1		969	831	20308	4.1%	Yes
RPTOR		672	579	20308	2.9%	Yes
XPO1		355	325	20308	1.6%	Yes
ZMYM3		575	495	20308	2.4%	Yes
SUFU		236	224	20308	1.1%	Yes
RAC1		148	143	20308	0.7%	Yes
HRAS		268	256	20308	1.3%	Yes
NCOA2		619	558	20308	2.7%	Yes
PBRM1		825	731	20308	3.6%	Yes
SYK		291	270	20308	1.3%	Yes
NCOA3		609	533	20308	2.6%	Yes
INSRR		27	27	20308	0.1%	No
TFE3		273	257	20308	1.3%	Yes
TFEB		249	239	20308	1.2%	Yes
PRPF40B		423	389	16118	2.4%	No
TYK2		685	622	20308	3.1%	Yes
GAB2		300	281	20308	1.4%	Yes
PDCD1LG2		148	142	20308	0.7%	Yes
RHOA		204	196	20308	1.0%	Yes
MN1		516	468	16118	2.9%	Yes
RAD51D		186	185	20308	0.9%	Yes
RAD51C		157	151	20308	0.7%	Yes
KIT		2389	1961	20308	9.7%	Yes
CLDN18		207	198	20308	1.0%	No
TLR4		137	111	4190	2.6%	No
DDR2		406	356	20308	1.8%	Yes
SDCCAG8		2	2	20308	<0.1%	No
PRKN		383	357	20308	1.8%	Yes
YAP1		213	199	20308	1.0%	Yes
AMER1		607	530	20308	2.6%	Yes
JAZF1-AS1		2	2	20308	<0.1%	No
DOT1L		902	790	20308	3.9%	Yes
TMPRSS2		339	321	20308	1.6%	Yes
CXCR4		174	158	20308	0.8%	Yes
RELA		242	229	20308	1.1%	No
PAK1		180	170	20308	0.8%	Yes
CUX1		1076	888	20308	4.4%	Yes
CTNNA1		343	312	20308	1.5%	Yes
GPC3		219	203	20308	1.0%	Yes
PAK3		272	234	20308	1.2%	Yes
DYNC1I1		84	78	4190	1.9%	No
MAP3K2		252	236	20308	1.2%	No
SUZ12		217	210	16118	1.3%	Yes
NPM1		97	91	20308	0.4%	Yes
MAP3K1		951	861	20308	4.2%	Yes
MLH1		584	539	20308	2.7%	Yes
MLH3		591	534	20308	2.6%	Yes
VEGFA		96	95	20308	0.5%	Yes
KBTBD4		156	143	16118	0.9%	Yes
RIT1		116	111	20308	0.5%	Yes
GFI1B		160	159	16118	1.0%	No
AXL		528	490	20308	2.4%	Yes
KLHL6		349	309	20308	1.5%	Yes
CTNNB1		1077	986	20308	4.9%	Yes
FOXA1		437	373	20308	1.8%	Yes
GALNT12		279	270	16118	1.7%	No
RLIMP1		3	3	20308	<0.1%	No
SAMD9L		679	555	16118	3.4%	Yes
MPL		408	397	20308	2.0%	Yes
PRDM1		524	467	20308	2.3%	Yes
ETS1		471	433	20308	2.1%	Yes
ARHGAP35		766	648	20308	3.2%	Yes
IGF1R		573	513	20308	2.5%	Yes
CCND3		139	135	20308	0.7%	Yes
CCND2		213	206	20308	1.0%	Yes
CCND1		231	221	20308	1.1%	Yes
EP300		1148	957	20308	4.7%	Yes
ARID2		993	839	20308	4.1%	Yes
PDGFRB		719	652	20308	3.2%	Yes
PDGFRA		935	743	20308	3.7%	Yes
CASR		600	518	16118	3.2%	No
HGF		559	474	20308	2.3%	Yes
TSC2		1284	1055	20308	5.2%	Yes
ARID5B		541	471	20308	2.3%	Yes
LIFR		144	112	4190	2.7%	Yes
SDHC		54	54	16118	0.3%	Yes
TSC1		672	588	20308	2.9%	Yes
SDHD		74	73	20308	0.4%	Yes
SDHA		333	307	16118	1.9%	Yes
POU3F2		29	26	4190	0.6%	Yes
SDHB		127	123	20308	0.6%	Yes
MYCL		165	155	20308	0.8%	Yes
MYCN		304	287	20308	1.4%	Yes
CCNE1		196	186	20308	0.9%	Yes
RAF1		336	312	20308	1.5%	Yes
CARD11		953	828	20308	4.1%	Yes
HTRA1		230	221	16118	1.4%	No
HOXB13		161	154	20308	0.8%	Yes
PRPF8		532	446	16118	2.8%	Yes
SPTA1		2720	2033	20308	10.0%	No
TMEM127		86	83	16118	0.5%	Yes
CAMTA1		677	579	16118	3.6%	Yes
OTX2		166	159	16118	1.0%	No
FGF23		213	194	20308	1.0%	Yes
BRINP3		691	572	16118	3.5%	No
SMAD2		163	155	20308	0.8%	Yes
ZFHX3		2009	1607	20308	7.9%	Yes
SMAD4		671	633	20308	3.1%	Yes
SMAD3		199	186	20308	0.9%	Yes
HSPA5		40	37	4190	0.9%	No
IDH1		1245	1228	20308	6.0%	Yes
PTCH1		894	781	20308	3.8%	Yes
IDH2		357	345	20308	1.7%	Yes
PTCH2		743	670	20308	3.3%	No
HMGA2		32	31	20308	0.2%	Yes
HSPA2		98	52	4190	1.2%	No
INHBA		305	278	20308	1.4%	Yes
ESR1		411	381	20308	1.9%	Yes
ZFHX4		3057	1997	20308	9.8%	No
ESR2		285	268	20308	1.3%	No
IGF2R		1201	1031	20308	5.1%	No
PHOX2B		224	212	20308	1.0%	Yes
LRP1B		4190	2507	20308	12.3%	Yes
NFKBIA		182	166	20308	0.8%	Yes
FGF14		189	164	20308	0.8%	Yes
NR4A3		241	217	16118	1.3%	Yes
GNAQ		243	229	20308	1.1%	Yes
FGF19		120	117	20308	0.6%	Yes
GNAS		389	369	20308	1.8%	Yes
FGFR4		1244	1172	20308	5.8%	Yes
IL7R		472	421	20308	2.1%	Yes
NFKBIE		391	335	20308	1.6%	Yes
FGFR3		576	531	20308	2.6%	Yes
FGFR2		571	489	20308	2.4%	Yes
BMPR1A		104	102	16118	0.6%	Yes
FGF10		135	132	20308	0.6%	Yes
FGFR1		592	522	20308	2.6%	Yes
KDM5A		629	539	20308	2.7%	Yes
YWHAE		77	75	20308	0.4%	Yes
GSK3B		172	165	20308	0.8%	Yes
KDM5C		584	480	20308	2.4%	Yes
DDX3X		432	385	20308	1.9%	Yes
TNFAIP3		463	434	20308	2.1%	Yes
CHD5		1193	958	20308	4.7%	No
CHD4		873	723	20308	3.6%	Yes
DDX41		290	272	20308	1.3%	Yes
CHD2		680	557	20308	2.7%	Yes
CHD1		698	590	20308	2.9%	No
GRM3		773	647	20308	3.2%	Yes
FLCN		343	335	20308	1.6%	Yes
SPRED1		227	213	20308	1.0%	Yes
CASP8		259	224	16118	1.4%	Yes
MYBL1		374	347	20308	1.7%	Yes
POLE		1263	1050	20308	5.2%	Yes
KDM6A		717	643	20308	3.2%	Yes
ATP6AP1		141	133	16118	0.8%	Yes
DCC		1436	1087	20308	5.4%	No
PDPK1		41	41	16118	0.3%	Yes
EED		135	129	16118	0.8%	Yes
AXIN1		508	475	20308	2.3%	Yes
AXIN2		497	455	20308	2.2%	Yes
ETV3		186	178	16118	1.1%	No
ARID1A		2509	1914	20308	9.4%	Yes
TENT5C		181	175	20308	0.9%	Yes
ARID1B		1228	1057	20308	5.2%	Yes
ETV6		356	323	20308	1.6%	Yes
TGFBR2		361	335	20308	1.6%	Yes
GREM1		57	57	16118	0.4%	Yes
CREB1		98	91	20308	0.4%	Yes
ELF3		370	320	20308	1.6%	Yes
SETBP1		910	766	20308	3.8%	Yes
NAV3		1477	1177	20308	5.8%	No
IRF4		348	284	20308	1.4%	Yes
MYOD1		188	182	16118	1.1%	Yes
RASA1		555	470	20308	2.3%	Yes
RASA2		385	348	20308	1.7%	No
MYH9		1003	876	20308	4.3%	Yes
BCL2A1		20	19	4190	0.5%	No
LEF1		187	180	20308	0.9%	Yes
ACVR1B		293	275	20308	1.4%	Yes
CBL		536	484	20308	2.4%	Yes
NT5C2		187	168	20308	0.8%	Yes
AURKB		169	161	20308	0.8%	Yes
AURKA		171	160	20308	0.8%	Yes
GNA13		199	172	20308	0.8%	Yes
GNA14		177	170	16118	1.1%	No
ERBB3		762	687	20308	3.4%	Yes
ERBB4		991	799	20308	3.9%	Yes
GNA11		216	212	20308	1.0%	Yes
POLD1		731	649	20308	3.2%	Yes
ERBB2		996	860	20308	4.2%	Yes
NRIP1		392	367	16118	2.3%	No
PTK2B		120	104	4190	2.5%	No
MAPK1		93	92	20308	0.5%	Yes
DROSHA		510	440	16118	2.7%	Yes
VHL		311	293	20308	1.4%	Yes
SLIT2		1138	906	20308	4.5%	Yes
MUTYH		337	329	20308	1.6%	Yes
SPEN		1620	1278	20308	6.3%	Yes
TCF7L2		320	308	20308	1.5%	Yes
POLQ		228	174	4190	4.2%	Yes
SPRY4		26	26	4190	0.6%	No
DDX31		334	313	16118	1.9%	No
OR5L1		82	72	4190	1.7%	No
EPOR		221	211	20308	1.0%	Yes
TSHR		435	396	20308	1.9%	Yes
LEF1-AS1		8	8	20308	<0.1%	No
ERCC1		30	27	4190	0.6%	Yes
ERCC2		611	567	20308	2.8%	Yes
SPRY2		124	119	20308	0.6%	No
KRAS		1858	1770	20308	8.7%	Yes
SPRY1		30	29	4190	0.7%	No
TEK		499	436	16118	2.7%	Yes
