Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
GID4		13	13	2526	0.5%	Yes
WT1		49	48	2526	1.9%	Yes
ZNF217		127	122	2526	4.8%	Yes
CRLF2		15	15	1117	1.3%	Yes
CSF3R		45	44	1557	2.8%	Yes
MRE11		53	51	2526	2.0%	Yes
TUSC3		1	1	148	0.7%	Yes
IRS2		228	207	2526	8.2%	Yes
FGF3		20	20	2526	0.8%	Yes
FGF4		21	21	2526	0.8%	Yes
FGF6		46	43	2526	1.7%	Yes
STK11		154	147	2605	5.6%	Yes
CDH1		112	104	2643	3.9%	Yes
PIM1		15	15	1557	1.0%	Yes
NBN		38	38	1409	2.7%	Yes
MAP3K6		10	10	148	6.8%	Yes
ROS1		203	180	2643	6.8%	Yes
MEN1		64	64	2526	2.5%	Yes
MAP2K4		47	44	2526	1.7%	Yes
RNF43		145	132	2526	5.2%	Yes
MAP2K1		33	33	2643	1.2%	Yes
MAP2K2		41	41	2643	1.6%	Yes
FBXW7		181	168	2526	6.7%	Yes
MAGI2		38	34	969	3.5%	Yes
MITF		50	49	2526	1.9%	Yes
FBXO11		9	9	148	6.1%	Yes
EMSY		87	84	2526	3.3%	Yes
FOXP1		17	17	1117	1.5%	Yes
MSH6		169	155	2526	6.1%	Yes
MAF		20	20	1557	1.3%	Yes
MSH2		92	86	2526	3.4%	Yes
SMO		91	88	2643	3.3%	Yes
MSH3		126	125	1557	8.0%	Yes
KAT6A		76	71	1117	6.4%	Yes
SRSF2		3	3	148	2.0%	Yes
ERG		32	32	2526	1.3%	Yes
NOTCH2		190	176	2526	7.0%	Yes
CSF1R		113	111	2526	4.4%	Yes
NOTCH3		196	177	2378	7.4%	Yes
KMT2D		586	472	2526	18.7%	Yes
CD274		15	15	2643	0.6%	Yes
BRSK1		3	3	148	2.0%	Yes
BLM		77	74	1117	6.6%	Yes
NOTCH1		266	240	2526	9.5%	Yes
CBFB		18	18	2526	0.7%	Yes
KMT2A		288	277	2526	11.0%	Yes
CUL3		41	36	2378	1.5%	Yes
KMT2C		197	159	1117	14.2%	Yes
TNFRSF11A		5	5	148	3.4%	Yes
FOXO3		1	1	148	0.7%	Yes
FOXO1		2	2	148	1.4%	Yes
SOCS2		1	1	148	0.7%	Yes
SOCS1		22	22	2526	0.9%	Yes
ABL1		68	66	2643	2.5%	Yes
BTLA		1	1	148	0.7%	Yes
ABL2		34	32	969	3.3%	Yes
TNFRSF17		1	1	148	0.7%	Yes
TNFRSF14		14	14	2526	0.6%	Yes
MCL1		57	56	2526	2.2%	Yes
FANCL		35	35	2526	1.4%	Yes
FANCA		177	169	2526	6.7%	Yes
FANCC		68	67	2526	2.7%	Yes
FANCE		27	27	1117	2.4%	Yes
PALB2		104	100	2605	3.8%	Yes
FANCG		41	41	2526	1.6%	Yes
QKI		20	19	2378	0.8%	Yes
FANCF		35	35	1117	3.1%	Yes
FBXO31		2	2	148	1.4%	Yes
CDK8		21	21	2526	0.8%	Yes
CDK6		9	9	2643	0.3%	Yes
MAFB		1	1	148	0.7%	Yes
BCL6		50	49	2526	1.9%	Yes
CDK4		16	16	2643	0.6%	Yes
BCL2		12	12	2526	0.5%	Yes
MDM2		24	24	2643	0.9%	Yes
NF1		232	199	2643	7.5%	Yes
MDM4		32	32	2526	1.3%	Yes
NF2		34	34	2526	1.3%	Yes
LZTR1		16	16	969	1.7%	Yes
MAP3K13		47	45	1409	3.2%	Yes
MAP3K14		5	5	148	3.4%	Yes
BCL2L2		17	17	2526	0.7%	Yes
MYD88		23	23	2643	0.9%	Yes
BCL2L1		8	8	2378	0.3%	Yes
NFE2L2		49	47	2526	1.9%	Yes
ALK		196	187	2643	7.1%	Yes
CIITA		5	5	148	3.4%	Yes
FLT1		154	153	2526	6.1%	Yes
FLT3		86	84	2643	3.2%	Yes
FLT4		71	66	1117	5.9%	Yes
LRRK2		6	6	148	4.1%	Yes
PTEN		144	128	2643	4.8%	Yes
PIK3C2G		92	91	1409	6.5%	Yes
PIK3CB		47	46	2378	1.9%	Yes
PIK3CG		49	43	1117	3.8%	Yes
CDC73		26	26	2526	1.0%	Yes
PIK3C2B		111	105	2378	4.4%	Yes
HSP90AA1		38	38	1117	3.4%	Yes
DIS3		41	41	1409	2.9%	Yes
ATRX		158	146	2526	5.8%	Yes
DNMT3A		278	194	2526	7.7%	Yes
ASMTL		12	11	148	7.4%	Yes
FOXL2		35	35	2643	1.3%	Yes
TRAF2		3	3	148	2.0%	Yes
SMC1A		3	3	148	2.0%	Yes
PIK3CA		339	296	2643	11.2%	Yes
TRAF3		1	1	148	0.7%	Yes
TRAF5		2	2	148	1.4%	Yes
TOP1		10	8	1117	0.7%	Yes
MET		132	125	2643	4.7%	Yes
BIRC3		1	1	148	0.7%	Yes
HDAC4		2	2	148	1.4%	Yes
CEBPA		35	34	2526	1.3%	Yes
HDAC1		12	12	1557	0.8%	Yes
SRC		30	29	2526	1.1%	Yes
U2AF1		29	28	2526	1.1%	Yes
NOD1		8	8	148	5.4%	Yes
MALT1		1	1	148	0.7%	Yes
HDAC7		7	7	148	4.7%	Yes
P2RY8		32	30	1557	1.9%	Yes
U2AF2		1	1	148	0.7%	Yes
NTRK1		152	148	2526	5.9%	Yes
NTRK2		50	50	2526	2.0%	Yes
NTRK3		94	88	2526	3.5%	Yes
PTPN11		35	34	2643	1.3%	Yes
MERTK		56	56	1409	4.0%	Yes
MTOR		149	141	2643	5.3%	Yes
TBX3		87	80	2378	3.4%	Yes
RAD52		22	21	1409	1.5%	Yes
CUL4A		21	21	1409	1.5%	Yes
ASXL1		188	178	2526	7.0%	Yes
RAD50		54	51	1117	4.6%	Yes
PC		2	2	148	1.4%	Yes
RAD51		21	21	2526	0.8%	Yes
APC		731	516	2605	19.8%	Yes
TLL2		1	1	148	0.7%	Yes
PDCD1		19	19	1557	1.2%	Yes
BCOR		136	125	2526	4.9%	Yes
PTPN2		2	2	148	1.4%	Yes
ERRFI1		29	28	2495	1.1%	Yes
SMARCB1		22	20	2526	0.8%	Yes
KEAP1		138	133	2526	5.3%	Yes
PPP2R2A		5	5	1409	0.4%	Yes
IKZF1		49	48	2526	1.9%	Yes
MKI67		18	17	148	11.5%	Yes
IKZF2		4	4	148	2.7%	Yes
IKZF3		1	1	148	0.7%	Yes
ACTB		1	1	148	0.7%	Yes
CRKL		10	10	2643	0.4%	Yes
CCT6B		1	1	148	0.7%	Yes
SOX2		21	21	2526	0.8%	Yes
PPP2R1A		48	47	2526	1.9%	Yes
ADGRA2		124	115	1117	10.3%	Yes
CHEK2		180	148	2605	5.7%	Yes
CHEK1		15	15	2526	0.6%	Yes
CCN6		14	14	1117	1.3%	Yes
KDR		157	145	2526	5.7%	Yes
SOX9		62	59	2378	2.5%	Yes
EPHB1		110	104	2526	4.1%	Yes
EPHB4		54	53	1409	3.8%	Yes
TP63		2	2	148	1.4%	Yes
PDK1		39	39	2526	1.5%	Yes
EPHA5		74	63	1117	5.6%	Yes
EPHA7		37	29	1117	2.6%	Yes
EBF1		2	2	148	1.4%	Yes
HNF1A		61	59	2526	2.3%	Yes
RUNX1		26	26	1117	2.3%	Yes
INPP4B		88	85	2526	3.4%	Yes
KEL		97	94	2378	4.0%	Yes
BTK		34	32	2643	1.2%	Yes
FLYWCH1		9	9	148	6.1%	Yes
BCORL1		146	134	2526	5.3%	Yes
TP53		1586	1399	2643	52.9%	Yes
EPHA3		127	115	2526	4.6%	Yes
MAGED1		1	1	148	0.7%	Yes
PIK3R2		34	32	1117	2.9%	Yes
MST1R		91	88	1409	6.2%	Yes
PIK3R1		90	80	2526	3.2%	Yes
ZBTB2		15	15	969	1.5%	No
CD79B		21	21	2526	0.8%	Yes
APH1A		2	2	148	1.4%	Yes
CD79A		39	39	2526	1.5%	Yes
BRIP1		102	94	2526	3.7%	Yes
PDCD11		6	5	148	3.4%	Yes
INPP5D		8	8	148	5.4%	Yes
ZNF703		112	111	2526	4.4%	Yes
HIST1H3B		1	1	148	0.7%	Yes
RBM10		70	68	2378	2.9%	Yes
PAG1		2	2	148	1.4%	Yes
STAT5A		4	3	148	2.0%	Yes
STAT5B		4	4	148	2.7%	Yes
XBP1		4	3	148	2.0%	Yes
BCL11B		2	2	148	1.4%	Yes
INSR		1	1	2643	<0.1%	Yes
XRCC2		8	7	1409	0.5%	Yes
IGF2		7	7	969	0.7%	Yes
TMSB4XP8		1	1	148	0.7%	Yes
SMARCA1		2	2	148	1.4%	Yes
SMARCA4		142	128	2526	5.1%	Yes
ICK		5	5	148	3.4%	Yes
STAG2		81	74	2526	2.9%	Yes
FUBP1		22	21	2378	0.9%	Yes
ID3		9	9	1557	0.6%	Yes
ATM		412	351	2605	13.5%	Yes
CALR		25	23	1557	1.5%	Yes
CD22		42	40	1557	2.6%	Yes
BAP1		103	98	2526	3.9%	Yes
ATR		161	152	2526	6.0%	Yes
DDR1		41	40	1409	2.8%	Yes
TOP2A		39	31	969	3.2%	Yes
FAF1		1	1	148	0.7%	Yes
PTPRO		57	55	1557	3.5%	Yes
BRCA1		182	160	2643	6.1%	Yes
BRCA2		343	307	2643	11.6%	Yes
RPTOR		75	73	2526	2.9%	Yes
XPO1		23	23	2526	0.9%	Yes
PCLO		17	14	148	9.5%	Yes
ZMYM3		2	2	148	1.4%	Yes
SUFU		34	32	2526	1.3%	Yes
CD36		9	8	148	5.4%	Yes
RAC1		5	5	2378	0.2%	Yes
HRAS		24	24	2643	0.9%	Yes
PARP3		36	35	1409	2.5%	Yes
PBRM1		120	114	2526	4.5%	Yes
PARP1		31	31	1409	2.2%	Yes
SYK		32	32	2378	1.3%	Yes
PARP2		28	28	1409	2.0%	Yes
TYK2		8	8	148	5.4%	Yes
PDCD1LG2		61	60	2643	2.3%	Yes
RAD51B		23	21	1409	1.5%	Yes
RAD51D		28	27	1409	1.9%	Yes
RAD51C		17	17	1409	1.2%	Yes
KIT		81	75	2643	2.8%	Yes
SGK1		20	20	1557	1.3%	Yes
DDR2		53	51	2643	1.9%	Yes
PRKN		68	65	2378	2.7%	Yes
AMER1		135	127	2526	5.0%	Yes
DOT1L		115	111	2526	4.4%	Yes
CXCR4		14	14	1557	0.9%	Yes
ALOX12B		27	27	1409	1.9%	Yes
CYP17A1		17	17	1409	1.2%	Yes
EXOSC6		4	4	148	2.7%	Yes
RELN		20	18	148	12.2%	Yes
CUX1		6	6	148	4.1%	Yes
CTNNA1		50	49	2526	1.9%	Yes
RAD54L		48	46	1409	3.3%	Yes
PAK3		18	16	1117	1.4%	Yes
RANBP2		58	53	969	5.5%	Yes
SUZ12		5	5	148	3.4%	Yes
NPM1		26	26	2643	1.0%	Yes
MAP3K1		243	225	2526	8.9%	Yes
CD70		10	10	1557	0.6%	Yes
MLH1		79	76	2526	3.0%	Yes
VEGFA		34	34	2495	1.4%	Yes
AXL		75	73	2526	2.9%	Yes
KLHL6		42	40	2526	1.6%	Yes
FAS		11	11	2526	0.4%	Yes
CTNNB1		106	95	2643	3.6%	Yes
MPL		63	63	2643	2.4%	Yes
PRDM1		71	69	2526	2.7%	Yes
ETS1		3	3	148	2.0%	Yes
IGF1R		120	113	2526	4.5%	Yes
CCND3		23	23	2526	0.9%	Yes
CCND2		18	18	2526	0.7%	Yes
CCND1		19	19	2643	0.7%	Yes
EP300		183	171	2526	6.8%	Yes
ARID2		61	58	1117	5.2%	Yes
LMO1		6	6	969	0.6%	Yes
PDGFRB		153	148	2643	5.6%	Yes
PDGFRA		77	74	2643	2.8%	Yes
HIST1H2AL		1	1	148	0.7%	Yes
KDM2B		5	5	148	3.4%	Yes
HGF		80	74	2526	2.9%	Yes
TSC2		287	272	2526	10.8%	Yes
SDHC		29	29	2526	1.1%	Yes
TSC1		226	219	2526	8.7%	Yes
SDHD		10	9	2526	0.4%	Yes
SDHA		49	47	2526	1.9%	Yes
SDHB		28	27	2526	1.1%	Yes
MYCL		36	35	2526	1.4%	Yes
MYCN		44	42	2643	1.6%	Yes
CCNE1		30	30	2526	1.2%	Yes
FANCD2		62	56	1117	5.0%	Yes
TBL1XR1		2	2	148	1.4%	Yes
RAF1		36	36	2643	1.4%	Yes
CARD11		110	108	2526	4.3%	Yes
HIST1H2BC		2	2	148	1.4%	Yes
DTX1		1	1	148	0.7%	Yes
SPTA1		175	148	969	15.3%	No
FGF23		31	30	2526	1.2%	Yes
SMAD2		39	37	2526	1.5%	Yes
SMAD4		205	188	2526	7.4%	Yes
SMAD3		22	22	969	2.3%	Yes
IDH1		75	74	2643	2.8%	Yes
PTCH1		243	207	2526	8.2%	Yes
IDH2		43	39	2643	1.5%	Yes
INHBA		19	18	1117	1.6%	Yes
ARHGAP26		1	1	148	0.7%	Yes
ESR1		143	133	2643	5.0%	Yes
LRP1B		278	203	1117	18.2%	Yes
NFKBIA		23	23	2526	0.9%	Yes
FGF14		21	21	2526	0.8%	Yes
CPS1		5	5	148	3.4%	Yes
GNAQ		6	6	2643	0.2%	Yes
FGF19		23	23	2526	0.9%	Yes
GNAS		202	181	2643	6.8%	Yes
TCF3		7	7	148	4.7%	Yes
FGFR4		86	83	2526	3.3%	Yes
IL7R		40	37	1117	3.3%	Yes
FGF12		9	9	1409	0.6%	Yes
FGFR3		106	100	2643	3.8%	Yes
FGFR2		52	51	2643	1.9%	Yes
FGF10		27	27	2526	1.1%	Yes
FGFR1		59	58	2643	2.2%	Yes
KDM5A		119	116	2526	4.6%	Yes
GSK3B		28	28	2526	1.1%	Yes
KDM5C		74	71	2526	2.8%	Yes
DDX3X		2	2	148	1.4%	Yes
TNFAIP3		86	81	2526	3.2%	Yes
CHD4		27	24	969	2.5%	Yes
CHD2		28	25	1117	2.2%	Yes
GRM3		64	60	2378	2.5%	Yes
FLCN		41	39	2526	1.5%	Yes
CASP8		32	32	1409	2.3%	Yes
BCL7A		1	1	148	0.7%	Yes
RASGEF1A		1	1	148	0.7%	Yes
HIST1H1D		5	5	148	3.4%	Yes
MYO18A		5	5	148	3.4%	Yes
HIST1H1E		2	2	148	1.4%	Yes
POLE		186	174	2378	7.3%	Yes
HIST1H1C		1	1	148	0.7%	Yes
KDM6A		127	116	2526	4.6%	Yes
EED		18	18	1557	1.2%	Yes
CAD		6	6	148	4.1%	Yes
AXIN1		76	72	2526	2.9%	Yes
ARID1A		365	327	2526	12.9%	Yes
TENT5C		28	26	2526	1.0%	Yes
ARID1B		164	146	969	15.1%	Yes
DNM2		5	5	148	3.4%	Yes
ETV6		4	4	2526	0.2%	Yes
TGFBR2		102	96	2526	3.8%	Yes
SETBP1		8	8	148	5.4%	Yes
IRF4		19	18	2526	0.7%	Yes
IRF2		27	27	2378	1.1%	Yes
IRF8		1	1	148	0.7%	Yes
ECT2L		2	2	148	1.4%	Yes
LTK		103	100	1409	7.1%	Yes
HIST1H2BJ		1	1	148	0.7%	Yes
LEF1		1	1	148	0.7%	Yes
ACVR1B		46	44	2378	1.9%	Yes
CBL		106	103	2526	4.1%	Yes
NT5C2		4	4	1557	0.3%	Yes
AURKB		36	36	2526	1.4%	Yes
AURKA		19	19	2526	0.8%	Yes
GNA13		14	14	2526	0.6%	Yes
ERBB3		153	142	2526	5.6%	Yes
ERBB4		121	111	2526	4.4%	Yes
GNA11		14	14	2643	0.5%	Yes
POLD1		116	108	2378	4.5%	Yes
MKNK1		29	28	1409	2.0%	Yes
ERBB2		182	160	2643	6.1%	Yes
MAPK1		17	17	1557	1.1%	Yes
VHL		60	58	2526	2.3%	Yes
SLIT2		55	47	969	4.9%	Yes
MUTYH		89	89	2526	3.5%	Yes
SPEN		282	256	2526	10.1%	Yes
KDM4C		5	5	148	3.4%	Yes
HSD3B1		48	48	2378	2.0%	Yes
YY1AP1		11	11	148	7.4%	Yes
TSHR		45	44	1117	3.9%	Yes
ERCC4		34	34	1409	2.4%	Yes
KRAS		574	558	2643	21.1%	Yes
TEK		39	37	1409	2.6%	Yes
TAF1		36	32	1117	2.9%	Yes
